index,bedtime,wakeup_time,smoking,smoking_roommate,tidiness,bed_importance,wakeup_importance,smoking_importance,tidiness_importance
1,6,6,0,0,2,8,8,10,5
2,9,7,0,0,2,9,7,8,8
3,4,8,0,0,3,10,1,10,4
4,7,5,0,0,2,5,4,4,5
5,6,8,0,0,2,4,1,5,5
6,-1,-1,0,0,2,2,8,10,8
7,6,9,0,2,3,4,5,2,2
8,9,6,0,0,4,6,8,7,5
9,8,5,0,0,3,5,2,9,7
10,-1,12,0,0,3,7,3,8,7
11,7,7,0,0,3,2,1,5,4
12,10,10,0,0,2,5,4,7,8
13,-1,-1,0,0,3,7,9,10,5
14,-1,4,0,0,2,4,2,3,5
15,8,10,0,0,4,1,1,4,1
16,3,4,0,2,3,8,8,1,1
17,8,9,1,2,1,6,6,6,6
18,4,7,0,0,2,9,2,10,5
19,6,6,0,0,3,8,3,10,5
20,10,11,0,0,4,2,1,6,2
21,6,7,0,0,3,8,4,5,7
22,8,6,0,2,3,7,7,5,6
23,7,6,0,0,4,7,3,10,7
24,9,8,0,2,4,3,1,1,1
25,8,2,0,0,1,10,10,10,10
26,7,8,0,0,2,5,2,2,5
27,-1,-1,1,1,4,1,1,10,9
28,8,8,0,0,2,5,2,4,6
29,9,12,0,0,4,1,1,10,1
30,7,8,0,0,3,8,8,6,7
31,10,5,0,0,2,9,2,10,1
32,3,7,0,0,3,9,9,9,9
33,8,8,0,0,3,7,7,10,7
34,7,9,0,0,3,4,2,7,8
35,8,8,0,2,2,2,6,4,8
36,9,4,0,0,3,6,7,9,8
37,-1,7,0,0,2,8,7,8,8
38,11,13,0,0,3,4,4,7,10
39,8,4,1,2,3,1,1,1,1
40,10,9,0,0,3,4,2,5,7
41,8,12,1,0,4,1,1,2,1
42,11,10,0,0,2,1,7,6,8
43,6,5,0,0,3,4,6,3,3
44,7,13,0,0,2,2,1,4,3
45,8,4,0,0,3,8,3,9,8
46,8,10,0,0,2,7,4,10,10
47,7,7,0,0,3,7,7,6,4
48,8,9,1,1,3,3,3,7,7
49,7,7,0,0,3,3,3,10,6
50,8,10,0,0,2,1,1,7,5
51,9,-1,0,0,2,3,2,3,4
52,9,-1,0,0,2,3,2,3,4
53,5,7,0,0,2,10,8,10,9
54,9,6,0,0,2,8,7,10,8
55,7,4,0,0,3,2,2,5,3
56,6,4,0,2,3,8,5,1,3
57,4,8,0,0,2,4,5,6,5
58,8,9,1,2,3,2,8,1,6
59,6,6,0,0,4,8,2,9,3
60,7,3,0,0,2,7,6,10,10
61,9,9,1,2,3,6,6,2,7
62,9,9,1,1,3,5,5,5,5
63,7,4,0,0,3,2,2,5,3
64,6,8,0,0,3,8,8,5,5
65,-1,12,0,0,3,5,2,6,2
66,6,6,0,0,2,10,5,5,7
67,11,13,0,0,2,6,6,6,6
68,7,8,0,0,3,9,2,6,3
69,7,6,0,0,2,4,5,3,4
70,8,10,0,0,3,5,5,10,3
71,8,9,0,2,4,3,1,1,2
72,6,6,0,0,1,4,4,5,4
73,10,8,0,0,4,1,10,4,1
74,8,9,0,0,2,2,2,8,6
75,7,9,0,0,4,5,3,10,2
76,9,8,0,0,3,5,4,2,4
77,8,9,0,0,4,10,9,6,1
78,6,3,0,0,3,10,8,10,5
79,8,9,0,0,3,3,2,4,5
80,5,6,0,0,3,10,3,7,5
81,7,9,0,0,4,5,1,4,1
82,6,4,0,2,4,1,10,1,3
83,-1,7,0,0,4,10,1,3,4
84,6,6,0,0,4,4,3,2,1
85,7,6,1,0,3,7,1,10,1
86,-1,-1,0,2,3,7,6,3,8
87,5,9,0,0,3,5,5,7,7
88,7,5,0,0,4,3,3,10,3
89,6,7,0,0,2,8,2,10,5
90,11,9,0,0,2,2,2,5,4
91,10,11,0,0,4,3,3,7,7
92,10,10,0,0,3,8,5,7,6
93,-1,-1,0,2,4,10,1,1,1
94,7,4,0,0,2,6,2,10,3
95,2,4,0,0,4,9,3,9,1
96,9,-1,0,2,3,9,9,4,8
97,6,4,0,0,3,10,8,10,5
98,8,7,0,0,3,7,7,5,7
99,7,6,0,0,3,5,5,2,6
100,7,5,1,2,2,4,4,4,5
101,6,8,0,0,2,5,4,6,5
102,10,12,0,0,4,7,1,8,1
103,6,8,0,2,3,4,4,3,5
104,10,11,0,0,4,5,2,8,1
105,8,6,0,0,3,3,1,5,4
106,7,6,0,0,1,9,9,2,5
107,6,8,0,0,3,1,1,10,5
108,11,13,0,0,4,5,1,5,5
109,6,7,0,0,2,8,7,3,9
110,6,8,0,0,2,9,5,8,9
111,7,5,0,2,4,1,1,1,1
112,7,5,0,2,4,1,1,1,1
113,11,11,0,0,3,3,8,5,4
114,9,10,1,2,3,7,7,1,3
115,8,10,0,0,3,9,3,6,3
116,8,-1,0,0,2,9,3,7,7
117,4,6,0,0,3,10,8,3,2
118,9,9,1,2,4,10,10,1,10
119,5,8,0,0,3,6,8,10,3
120,8,5,0,0,4,9,4,10,3
121,6,6,0,0,3,8,4,10,6
122,7,5,0,2,4,1,2,1,1
123,8,9,1,1,3,10,7,4,7
124,10,8,0,0,4,2,2,2,2
125,8,6,1,1,3,8,4,3,4
126,-1,-1,0,0,4,3,1,3,7
127,6,6,0,0,4,5,5,8,6
128,6,9,0,0,4,7,2,9,2
129,6,8,0,0,3,10,5,10,7
130,7,4,0,0,2,4,4,7,7
131,6,8,0,2,3,6,7,6,5
132,6,6,0,0,4,9,6,8,3
133,-1,-1,1,2,4,1,1,1,7
134,6,3,1,2,2,4,4,1,7
135,6,6,0,0,1,6,6,6,10
136,10,8,1,1,4,7,8,9,6
137,5,5,0,0,3,9,5,10,5
138,4,7,1,2,3,5,3,8,3
139,5,4,1,1,2,7,3,10,7
140,6,7,1,2,4,3,1,6,6
141,6,7,0,0,2,10,5,10,7
142,6,10,0,0,2,9,7,10,5
143,9,8,0,0,4,5,2,9,3
144,9,9,0,2,3,4,1,1,4
145,8,9,0,0,3,5,3,3,5
146,7,9,0,0,2,7,5,7,7
147,5,7,0,0,4,4,8,10,1
148,9,11,0,0,4,10,8,1,2
149,6,7,0,0,2,9,7,5,8
150,6,6,0,0,2,8,5,9,7
151,9,11,1,2,3,7,7,3,3
152,9,9,0,0,2,2,3,8,10
153,3,4,0,0,1,7,5,7,10
154,7,6,1,1,4,4,4,6,3
155,4,5,0,0,2,7,6,7,9
156,5,6,0,0,2,6,6,8,9
157,8,8,1,2,4,5,5,5,5
158,5,4,0,0,4,9,5,5,1
159,5,4,1,2,3,6,6,9,7
160,7,4,0,2,4,1,1,1,1
161,7,8,0,0,3,6,8,7,5
162,-1,10,0,0,4,1,1,1,1
163,9,11,1,1,1,1,1,1,3
164,6,6,1,1,3,8,8,3,3
165,7,6,0,0,1,6,7,8,9
166,6,6,0,0,4,5,3,4,4
167,6,4,0,2,2,8,6,7,7
168,6,5,0,0,1,1,1,1,10
169,-1,-1,0,0,4,2,2,6,2
170,8,8,0,0,2,6,4,6,4
171,9,8,0,0,3,4,8,10,8
172,9,9,0,0,3,2,2,5,5
173,6,6,1,2,3,5,6,5,7
174,7,8,0,0,4,5,4,6,5
175,-1,13,0,0,1,6,5,10,10
176,6,7,0,0,2,3,1,7,7
177,7,6,0,0,3,1,5,10,5
178,7,8,0,0,2,4,1,5,4
179,8,6,0,0,3,4,3,6,4
180,6,6,0,0,2,8,8,10,8
181,9,8,0,0,4,7,3,8,10
182,8,8,0,0,2,6,4,6,4
183,7,5,1,1,1,3,3,5,8
184,10,12,0,0,1,1,1,10,5
185,6,10,0,0,3,5,5,10,6
186,8,8,0,0,2,9,9,10,8
187,6,8,0,0,2,5,5,10,8
188,6,8,0,0,3,7,7,9,2
189,10,10,0,0,1,3,8,10,7
190,8,9,0,0,2,9,3,8,5
191,10,12,0,0,2,1,1,10,1
192,8,12,0,0,3,7,7,9,2
193,-1,-1,0,0,4,3,2,7,6
194,7,8,0,0,3,7,3,6,8
195,8,6,0,0,4,10,1,5,2
196,6,8,0,0,4,4,5,6,6
197,-1,-1,0,0,4,4,3,2,2
198,8,8,0,0,2,1,1,10,8
199,11,12,0,0,1,8,8,6,7
200,5,4,0,0,2,8,8,10,5
201,6,8,0,0,3,5,1,8,8
202,8,10,0,0,3,10,5,5,5
203,7,10,1,2,2,10,10,1,7
204,-1,-1,0,2,4,1,3,5,5
205,8,8,0,0,3,3,3,8,5
206,4,4,1,2,3,6,8,1,5
207,7,5,1,1,2,8,8,3,8
208,9,7,0,2,2,9,8,3,8
209,4,4,0,0,3,10,9,8,4
210,-1,8,0,0,1,1,4,10,10
211,-1,7,1,2,3,3,3,3,6
212,-1,7,0,0,3,5,7,10,7
213,8,6,0,0,4,8,4,6,1
214,5,5,0,0,2,5,7,6,9
215,5,6,0,0,3,7,6,6,7
216,8,10,0,2,3,6,10,8,7
217,8,6,1,1,3,7,6,9,4
218,8,5,0,0,2,7,6,7,9
219,6,6,0,0,3,7,5,8,6
220,6,8,0,0,3,10,10,10,10
221,8,4,0,0,3,3,1,10,5
222,9,9,0,0,4,1,1,10,6
223,8,7,0,0,3,1,1,4,3
224,9,11,0,0,3,8,8,7,7
225,9,7,1,2,3,9,3,2,10
226,5,8,0,0,3,6,3,10,7
227,11,11,0,0,2,7,3,10,3
228,6,9,0,0,4,8,1,5,1
229,5,4,0,0,4,5,5,3,4
230,4,4,0,0,2,3,6,6,7
231,11,11,0,0,3,3,4,5,4
232,10,13,0,0,3,7,7,9,7
233,6,7,1,2,3,8,8,3,3
234,9,6,1,2,3,5,5,5,5
235,6,7,0,0,2,3,2,1,3
236,4,6,0,0,2,10,8,10,8
237,8,10,0,0,2,10,8,5,8
238,6,5,0,0,2,3,2,2,4
239,10,8,0,0,3,3,3,3,3
240,6,10,0,0,1,8,7,10,10
241,10,8,1,2,2,3,4,3,3
242,8,8,0,0,3,7,6,6,7
243,10,10,0,0,2,3,3,4,3
244,4,-1,0,0,3,3,1,1,4